RFR Code	FDD Code
1ALAFAIL	A160106
1ALANOFL	A160105
1ALARMS	A090201
1ARCING	A0703
1AUDFAL	A090103
1CIRFAL	A1408
1CMPMIS	A020602
1COMPLS	A051207
1DEFECT	A0203
1DELDET	A150102
1DEVAPP	A0406
1DEVBRN	A1008
1DEVCUT	A050702
1DEVDAMC	A0406
1DEVFIR	A1007
1DEVNDT	A12
1DEVNOCO	A090402
1DEVNOCU	A050702
1DEVSHK	A071302
1DEVSMK	A1009
1DEVSUG	A24
1DEVUSE	A24
1EC11	A090201
1EC116	A090201
1EC12	A090201
1EC120	A090201
1EC121	A090201
1EC124	A090201
1EC125	A090201
1EC14	A090201
1EC148	A090201
1EC15	A090201
1EC150	A090201
1EC154	A090201
1EC156	A090201
1EC158	A090201
1EC159	A090201
1EC160	A090201
1EC162	A090201
1EC163	A090201
1EC164	A090201
1EC166	A090201
1EC167	A090201
1EC168	A090201
1EC169	A090201
1EC170	A090201
1EC18	A090201
1EC180	A090201
1EC181	A090201
1EC183	A090201
1EC185	A090201
1EC187	A090201
1EC19	A090201
1EC191	A090201
1EC192	A090201
1EC193	A090201
1EC194	A090201
1EC195	A090201
1EC198	A090201
1EC199	A090201
1EC2	A090201
1EC20	A090201
1EC200	A090201
1EC202	A090201
1EC213	A090201
1EC216	A090201
1EC217	A090201
1EC219	A090201
1EC224	A090201
1EC225	A090201
1EC226	A090201
1EC227	A090201
1EC228	A090201
1EC23	A090201
1EC230	A090201
1EC232	A090201
1EC233	A090201
1EC235	A090201
1EC238	A090201
1EC239	A090201
1EC24	A090201
1EC240	A090201
1EC245	A090201
1EC248	A090201
1EC251	A090201
1EC257	A090201
1EC258	A090201
1EC260	A090201
1EC263	A090201
1EC266	A090201
1EC267	A090201
1EC27	A090201
1EC274	A090201
1EC275	A090201
1EC276	A090201
1EC277	A090201
1EC28	A090201
1EC280	A090201
1EC281	A090201
1EC283	A090201
1EC284	A090201
1EC287	A090201
1EC288	A090201
1EC289	A090201
1EC3	A090201
1EC300	A090201
1EC301	A090201
1EC302	A090201
1EC303	A090201
1EC304	A090201
1EC305	A090201
1EC306	A090201
1EC307	A090201
1EC309	A090201
1EC310	A090201
1EC312	A090201
1EC313	A090201
1EC314	A090201
1EC315	A090201
1EC317	A090201
1EC318	A090201
