Code/LLT	Level6 Description
ANCINS	NOT REPORTABLE
ADPYSL	NOT REPORTABLE
ANCTBB	REPORTABLE
ANTLPR	REPORTABLE
ANVDNT	REPORTABLE
ACRORT	REPORTABLE
ADHIMP	NOT REPORTABLE
ADPDNC	NOT REPORTABLE
ADPTSR	NOT REPORTABLE
ADPTNR	NOT REPORTABLE
AASEUNRTRN	NOT REPORTABLE
AASNOREPT	NOT REPORTABLE
AASNOTCOM	NOT REPORTABLE
AASUNRELATED	NOT REPORTABLE
ABSLOW	NOT REPORTABLE
ACOH	NOT REPORTABLE
ACENT	NOT REPORTABLE
ACCBRK	REPORTABLE
ABSORP	REPORTABLE
ACADISSUE	NOT REPORTABLE
ANVDSG	REPORTABLE
ANVDTA	REPORTABLE
ANVDTG	NOT REPORTABLE
ANVDTU	REPORTABLE
ARJBKN	NOT REPORTABLE
ARMIDE	REPORTABLE
ARTACT	REPORTABLE
ARTINS	NOT REPORTABLE
ARTNSM	NOT REPORTABLE
ARTSTRDF	REPORTABLE
ATWANV	REPORTABLE
AUDIOFAIL	NOT REPORTABLE
AUTCLV	NOT REPORTABLE
BACHDNW	NOT REPORTABLE
BAGDET	NOT REPORTABLE
BAGSEP	REPORTABLE
BAGTRN	REPORTABLE
BALLDIS	REPORTABLE
BALLEK	NOT REPORTABLE
BALSEP	REPORTABLE
BALWND	NOT REPORTABLE
BALWNI	REPORTABLE
BATDNW	NOT REPORTABLE
BATLEAK	NOT REPORTABLE
BATNCH	NOT REPORTABLE
BATNOCHG	NOT REPORTABLE
BATTHR	REPORTABLE
BBRSIN	REPORTABLE
BCKUPP	REPORTABLE
BFSTPL	REPORTABLE
BKNSHW	REPORTABLE
BLLNBK	REPORTABLE
BLLNDT	NOT REPORTABLE
BLLNWH	NOT REPORTABLE
BLVAIN	REPORTABLE
BURNP	REPORTABLE
BURNU	REPORTABLE
BUTBKN	NOT REPORTABLE
BUTTON	NOT REPORTABLE
BWLLEK	REPORTABLE
CABLE	NOT REPORTABLE
CALDNS	NOT REPORTABLE
CALIER	NOT REPORTABLE
CALSLW	NOT REPORTABLE
CAPACT	REPORTABLE
CAPCPL	REPORTABLE
CAPEOH	NOT REPORTABLE
CARTNR	NOT REPORTABLE
CAUTNL	NOT REPORTABLE
CEED	NOT REPORTABLE
CEXEMF	REPORTABLE
CFTBKN	NOT REPORTABLE
CHBAER	NOT REPORTABLE
CHGRED	NOT REPORTABLE
CLBWND	NOT REPORTABLE
CLCINC	NOT REPORTABLE
CLIPD	REPORTABLE
CLNCAP	REPORTABLE
CLPBKN	REPORTABLE
CLPDNF	NOT REPORTABLE
CLPFLF	REPORTABLE
CLPFLP	REPORTABLE
CLPFRM	REPORTABLE
CLPNLP	REPORTABLE
CLPSCZ	REPORTABLE
CLPSEP	NOT REPORTABLE
CLPSLP	REPORTABLE
CLPSPT	REPORTABLE
CMDROF	REPORTABLE
CMDROP	REPORTABLE
CMDROR	REPORTABLE
CMPBIO	REPORTABLE
CMPDIS	REPORTABLE
CNDTHB	NOT REPORTABLE
CNDTIN	REPORTABLE
COLEEI	REPORTABLE
COLLFS	REPORTABLE
CORDAM	NOT REPORTABLE
CORRST	NOT REPORTABLE
CPMALAUD	NOT REPORTABLE
CPMASSMB	NOT REPORTABLE
CPMBTELBT	NOT REPORTABLE
CPMBTELFCH	NOT REPORTABLE
CPMCNCMT	NOT REPORTABLE
CPMCNLIC	NOT REPORTABLE
CPMCOA	NOT REPORTABLE
CPMCOSDM	NOT REPORTABLE
CPMCUSFB	NOT REPORTABLE
CPMCYBSEC	NOT REPORTABLE
CPMDALK	NOT REPORTABLE
CPMDDAM	NOT REPORTABLE
CPMDELPR	NOT REPORTABLE
CPMDESW	NOT REPORTABLE
CPMDEVDC	NOT REPORTABLE
CPMDEVHOT	NOT REPORTABLE
CPMDFDAT	REPORTABLE
CPMDFDSI	NOT REPORTABLE
CPMDFFM	NOT REPORTABLE
CPMDFPO	NOT REPORTABLE
CPMDIOTER	NOT REPORTABLE
CPMDPKG	NOT REPORTABLE
CPMDPSWF	NOT REPORTABLE
CPMDVCON	NOT REPORTABLE
CPMDWINF	NOT REPORTABLE
CPMELSHK	REPORTABLE
CPMFOOB	NOT REPORTABLE
CPMMEDAT	NOT REPORTABLE
CPMMSLA	NOT REPORTABLE
CPMNALRM	REPORTABLE
CPMNOI	NOT REPORTABLE
CPMPOWL	NOT REPORTABLE
CPMPZELPS	NOT REPORTABLE
CPMSWDRS	NOT REPORTABLE
CPMSWRST	NOT REPORTABLE
CPMTCHIVS	NOT REPORTABLE
CPMTPBRN	REPORTABLE
CPMTUBBL	NOT REPORTABLE
CPMWDEF	NOT REPORTABLE
CSERSC	NOT REPORTABLE
CTRYCR	NOT REPORTABLE
CUSFED	NOT REPORTABLE
CUTRIP	NOT REPORTABLE
CUTSGI	REPORTABLE
CYBERA	REPORTABLE
DAMAGE	REPORTABLE
DATALT	REPORTABLE
DBLIDX	REPORTABLE
DCERROR	NOT REPORTABLE
DEADRA	REPORTABLE
DEFECTIVE	NOT REPORTABLE
DEVBRN	REPORTABLE
DEVNTO	NOT REPORTABLE
DEVPWF	NOT REPORTABLE
DEVUSE	NOT REPORTABLE
DFAADP	NOT REPORTABLE
DFINPH	NOT REPORTABLE
DFINPT	REPORTABLE
DFOPKG	NOT REPORTABLE
DFRADP	NOT REPORTABLE
DGRDNW	NOT REPORTABLE
DIFAPX	REPORTABLE
DIFART	NOT REPORTABLE
DIFASY	NOT REPORTABLE
DIFCLS	NOT REPORTABLE
DIFDAS	NOT REPORTABLE
DIFDEP	NOT REPORTABLE
DIFDES	NOT REPORTABLE
DIFFERELPRO	REPORTABLE
DIFFIR	NOT REPORTABLE
DIFGRP	NOT REPORTABLE
DIFHPA	REPORTABLE
DIFIIN	REPORTABLE
DIFINJ	NOT REPORTABLE
DIFINS	NOT REPORTABLE
DIFLCK	NOT REPORTABLE
DIFLOD	NOT REPORTABLE
DIFOPN	NOT REPORTABLE
DIFPKG	NOT REPORTABLE
DIFPOS	NOT REPORTABLE
DIFPPN	NOT REPORTABLE
DIFRCV	REPORTABLE
DIFREM	REPORTABLE
DIFRFP	REPORTABLE
DIFRKB	REPORTABLE
DIFSAF	REPORTABLE
DIFSTG	REPORTABLE
DIFTGL	NOT REPORTABLE
DIFUNL	NOT REPORTABLE
DIREST	NOT REPORTABLE
DISCRK	NOT REPORTABLE
DISPFL	REPORTABLE
DISSHO	NOT REPORTABLE
DMPHHS	NOT REPORTABLE
DNCALB	NOT REPORTABLE
